                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.68058,                0.43887,                 1.1742,                0.99639,                      1,                  0.995,                0.96039,                0.39653,                0.33039,                0.96574,               0.000944,               0.000944,               0.000944
                     67,                0.73994,                0.47164,                 1.1885,                0.99397,                      1,                  0.995,                0.91286,                0.42444,                0.36288,                0.95904,              0.0009275,              0.0009275,              0.0009275
                     68,                0.74823,                0.48406,                 1.1804,                0.99329,                      1,                  0.995,                0.93038,                 0.4439,                0.46342,                0.97002,               0.000911,               0.000911,               0.000911
                     69,                0.69166,                0.42776,                 1.1569,                0.99467,                      1,                  0.995,                 0.9116,                0.44865,                0.38044,                 1.0081,              0.0008945,              0.0008945,              0.0008945
                     70,                0.72894,                0.44895,                 1.1845,                0.99506,                      1,                  0.995,                0.91337,                0.43865,                0.32321,                0.98543,               0.000878,               0.000878,               0.000878
                     71,                 0.7099,                0.43598,                 1.1666,                0.99568,                      1,                  0.995,                0.91398,                0.52938,                0.33445,                  1.108,              0.0008615,              0.0008615,              0.0008615
                     72,                0.67911,                0.42098,                 1.1413,                0.99633,                      1,                  0.995,                0.91336,                0.47618,                0.34253,                 1.0078,               0.000845,               0.000845,               0.000845
                     73,                0.66484,                0.43877,                 1.1389,                0.99623,                      1,                  0.995,                 0.9468,                0.38277,                0.29393,                0.94357,              0.0008285,              0.0008285,              0.0008285
                     74,                0.71217,                0.43965,                  1.184,                0.99639,                      1,                  0.995,                0.95889,                0.38054,                0.31339,                0.90784,               0.000812,               0.000812,               0.000812
                     75,                0.72837,                0.45104,                 1.1578,                0.99501,                      1,                  0.995,                0.91596,                0.47077,                0.31024,                0.94871,              0.0007955,              0.0007955,              0.0007955
                     76,                 0.6981,                   0.42,                 1.1608,                 0.9944,                      1,                  0.995,                0.96123,                 0.4249,                0.33412,                0.94846,               0.000779,               0.000779,               0.000779
                     77,                0.72274,                 0.4137,                 1.1656,                0.99602,                      1,                  0.995,                0.93321,                0.47553,                 0.3131,                0.96679,              0.0007625,              0.0007625,              0.0007625
                     78,                0.73438,                0.44074,                 1.1935,                0.99573,                      1,                  0.995,                0.91316,                0.48166,                0.33419,                0.94735,               0.000746,               0.000746,               0.000746
                     79,                0.67843,                0.42876,                 1.1877,                0.99619,                      1,                  0.995,                0.92184,                0.46216,                 0.3215,                0.95291,              0.0007295,              0.0007295,              0.0007295
                     80,                 0.6316,                0.42968,                 1.1153,                0.99646,                      1,                  0.995,                0.92177,                 0.4207,                0.30498,                0.92909,               0.000713,               0.000713,               0.000713
                     81,                0.64815,                0.43153,                 1.1548,                0.99643,                      1,                  0.995,                0.93713,                 0.4056,                0.32061,                0.91148,              0.0006965,              0.0006965,              0.0006965
                     82,                0.66783,                0.43623,                 1.1236,                0.99662,                      1,                  0.995,                0.93064,                0.38422,                0.31509,                0.90783,                0.00068,                0.00068,                0.00068
                     83,                 0.6651,                0.44712,                 1.1361,                0.99667,                      1,                  0.995,                0.92057,                0.39626,                 0.2563,                0.94826,              0.0006635,              0.0006635,              0.0006635
                     84,                0.68386,                0.43262,                 1.1516,                0.99557,                      1,                  0.995,                0.90811,                0.49735,                0.35025,                0.98424,               0.000647,               0.000647,               0.000647
                     85,                0.65152,                0.44813,                  1.126,                 0.9889,                      1,                  0.995,                0.87918,                0.58363,                0.40552,                  1.055,              0.0006305,              0.0006305,              0.0006305
                     86,                0.66421,                0.44124,                  1.164,                0.99598,                      1,                  0.995,                0.86776,                0.51488,                0.45796,                 1.0399,               0.000614,               0.000614,               0.000614
                     87,                 0.6056,                0.39522,                  1.122,                0.99651,                      1,                  0.995,                0.90434,                0.43489,                0.31191,                 0.9861,              0.0005975,              0.0005975,              0.0005975
                     88,                0.62856,                0.39139,                 1.1256,                0.99648,                      1,                  0.995,                0.91733,                0.42144,                0.30445,                0.96674,               0.000581,               0.000581,               0.000581
                     89,                0.67491,                0.42282,                 1.1399,                0.99638,                      1,                  0.995,                0.88402,                0.46966,                0.30565,                 0.9879,              0.0005645,              0.0005645,              0.0005645
                     90,                0.66466,                0.39419,                 1.1429,                0.99648,                      1,                  0.995,                0.91077,                0.49399,                0.31133,                 1.0311,               0.000548,               0.000548,               0.000548
                     91,                0.64113,                0.39162,                 1.0874,                0.99638,                      1,                  0.995,                0.91192,                0.45864,                0.32795,                  1.013,              0.0005315,              0.0005315,              0.0005315
                     92,                0.67941,                0.41863,                 1.1428,                0.99637,                      1,                  0.995,                0.91712,                0.41751,                0.27449,                0.99581,               0.000515,               0.000515,               0.000515
                     93,                0.59151,                 0.3756,                 1.0922,                 0.9964,                      1,                  0.995,                0.91689,                0.43148,                0.26492,                 1.0102,              0.0004985,              0.0004985,              0.0004985
                     94,                0.71853,                0.44043,                 1.2002,                0.99651,                      1,                  0.995,                  0.901,                0.45708,                0.27648,                 1.0128,               0.000482,               0.000482,               0.000482
                     95,                0.61515,                0.37667,                 1.1062,                0.99631,                      1,                  0.995,                 0.9214,                0.44571,                0.27185,                 1.0086,              0.0004655,              0.0004655,              0.0004655
                     96,                0.61665,                0.38102,                 1.1207,                0.99622,                      1,                  0.995,                0.92707,                0.42371,                0.26268,                0.95496,               0.000449,               0.000449,               0.000449
                     97,                0.65656,                0.41534,                 1.1357,                0.99634,                      1,                  0.995,                0.94033,                0.38469,                0.28181,                0.90272,              0.0004325,              0.0004325,              0.0004325
                     98,                0.62263,                0.37392,                 1.0954,                0.99666,                      1,                  0.995,                0.92467,                0.39139,                0.27166,                0.90928,               0.000416,               0.000416,               0.000416
                     99,                 0.6141,                0.37065,                 1.1094,                0.99661,                      1,                  0.995,                0.92748,                0.45387,                 0.2834,                 0.9846,              0.0003995,              0.0003995,              0.0003995
                    100,                0.62762,                0.40452,                 1.1038,                0.99654,                      1,                  0.995,                0.92052,                0.47058,                0.31169,                0.99913,               0.000383,               0.000383,               0.000383
                    101,                0.58857,                 0.3672,                 1.0879,                0.99658,                      1,                  0.995,                0.91955,                 0.4435,                0.28878,                0.95525,              0.0003665,              0.0003665,              0.0003665
                    102,                0.59814,                0.36655,                 1.0582,                0.99666,                      1,                  0.995,                0.94277,                0.39368,                0.24659,                0.90434,                0.00035,                0.00035,                0.00035
                    103,                0.70427,                0.41832,                 1.1689,                0.99661,                      1,                  0.995,                  0.925,                0.44202,                0.25438,                0.93741,              0.0003335,              0.0003335,              0.0003335
                    104,                0.60901,                0.36583,                 1.1098,                0.99663,                      1,                  0.995,                0.92208,                0.44928,                0.24146,                0.95954,               0.000317,               0.000317,               0.000317
                    105,                0.59623,                0.34734,                 1.0955,                0.99654,                      1,                  0.995,                  0.935,                0.40323,                0.24974,                0.93336,              0.0003005,              0.0003005,              0.0003005
